group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
Fashion-10 schema-head,qproto_masked_hop,3,0.6710583333333334,0.05817889436956554,0.6708421270815315,24364.0
Fashion-10 schema-head,qproto_chop,3,0.6696583333333335,0.06049696176075774,0.6694130859934304,11564.0
Fashion-10 schema-head,qproto_cproto,3,0.6684333333333333,0.06302904636606071,0.6682499804989334,7724.0
Fashion-10 schema-head,fedproto_schema,3,0.5266833333333334,0.07684867507208878,0.5273101218128999,7724.0
Fashion-10 schema-head,fedadam_schema,3,0.544275,0.06415442666741879,0.5441724461714401,7720.0
Fashion-10 schema-head,fedavg_schema,3,0.4704583333333333,0.10333948002101118,0.4733589126113425,7720.0
Fashion-10 schema-head,fedprox_schema,3,0.4688,0.10414884241009448,0.4716616579779688,7720.0
Fashion-10 strong-baseline,qproto_masked_hop,3,0.6710583333333334,0.05817889436956554,0.6708421270815315,24364.0
Fashion-10 strong-baseline,qproto_chop,3,0.6696583333333335,0.06049696176075774,0.6694130859934304,11564.0
Fashion-10 strong-baseline,qproto_cproto,3,0.6684333333333333,0.06302904636606071,0.6682499804989334,7724.0
Fashion-10 strong-baseline,fedproto_schema,3,0.5266833333333334,0.07684867507208878,0.5273101218128999,7724.0
Fashion-10 strong-baseline,fedproto_forced,3,0.24979166666666666,0.05061474564314507,0.25145191804724937,7724.0
Fashion-10 strong-baseline,fedadam_forced,3,0.26163333333333333,0.03493313974676695,0.2628835205792212,7720.0
Fashion-10 strong-baseline,fedavg_forced,3,0.18643333333333334,0.05044576791147088,0.18686809302032414,7720.0
Fashion-10 strong-baseline,fedprox_forced,3,0.18625833333333333,0.051160417620848775,0.18665310424768752,7720.0
Hardware-ready Aer MNIST-2,qproto_masked_hop,1,0.7777777777777778,0.0,0.7777159807193178,332.0
Hardware-ready Aer MNIST-2,qproto_chop,1,0.7555555555555555,0.0,0.7552836484983314,268.0
Hardware-ready Aer MNIST-2,qproto_cproto,1,0.7527777777777778,0.0,0.7525954764553208,140.0
Hardware-ready Aer MNIST-2,fedproto_schema,1,0.65,0.0,0.6501668520578421,268.0
Hardware-ready Aer MNIST-2,fedadam_schema,1,0.5277777777777778,0.0,0.5140897293288839,264.0
Hardware-ready Aer MNIST-2,shared_observable,1,0.6138888888888889,0.0,0.6150352243233222,268.0
Hardware-ready Aer MNIST-2,no_schema,1,0.5833333333333334,0.0,0.5832406377456433,268.0
Hardware-ready Aer MNIST-2,wrong_schema,1,0.5611111111111112,0.0,0.5591397849462366,396.0
MNIST-10 full-class,qproto_masked,3,0.7534166666666667,0.03981109991620937,0.7494911583834639,20524.0
MNIST-10 full-class,qproto_masked_hop,3,0.7541166666666668,0.04060792786537169,0.7501773136844415,24364.0
